id_marca;MARCA
ACURA;ACURA
ALFA ROMEO;ALFA ROMEO
AUDI;AUDI
BMW;BMW
BUICK;BUICK
CADILLAC;CADILLAC
CHEVROLET;CHEVROLET
CHRYSLER;CHRYSLER
DODGE;DODGE
FIAT;FIAT
FORD;FORD
GENERAL MOTORS COMPANY (GMC);GENERAL MOTORS COMPANY (GMC)
HONDA;HONDA
HYUNDAI;HYUNDAI
HUMMER;HUMMER
INFINITI;INFINITI
JAGUAR;JAGUAR
JEEP;JEEP
LAND_ROVER;LAND_ROVER
LINCOLN;LINCOLN
MAZDA;MAZDA
MERCEDES BENZ;MERCEDES BENZ
MERCEDES_BENZ;MERCEDES_BENZ
MERCURY;MERCURY
MG ROVER;MG ROVER
MINI COOPER;MINI COOPER
MITSUBISHI;MITSUBISHI
NISSAN;NISSAN
PEUGEOT;PEUGEOT
PIAGIO;PIAGIO
PONTIAC;PONTIAC
PORSCHE;PORSCHE
RENAULT;RENAULT
SAAB;SAAB
SEAT;SEAT
SMART;SMART
SUBARU;SUBARU
SUZUKI;SUZUKI
TOYOTA;TOYOTA
VOLKSWAGEN;VOLKSWAGEN
VOLVO;VOLVO